statement,label,cleaned_text
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,1,mccain opposed a requirement that the government buy americanmade motorcycles and he said all buyamerican provisions were quote disgraceful 
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",0,us rep ron kind dwis and his fellow democrats went on a spending spree and now their credit card is maxed out
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",1,water rates in manila philippines were raised up to  percent when a subsidiary of the world bank became a partial owner
"Almost 100,000 people left Puerto Rico last year.",1,almost  people left puerto rico last year
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,0,women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor
The United States has the highest corporate tax rate in the free world.,1,the united states has the highest corporate tax rate in the free world
We just had the best year for the auto industry in America in history.,1,we just had the best year for the auto industry in america in history
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",1,says scott walker favors cutting up to  families and children off health care
Says Mitt Romney wants to get rid of Planned Parenthood.,0,says mitt romney wants to get rid of planned parenthood
I dont know who (Jonathan Gruber) is.,0,i dont know who jonathan gruber is
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,1,hate crimes against american muslims and mosques have tripled after paris and san bernardino
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,1,rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",0,isis supporter tweeted at  am shooting began at  am in chattanooga tenn
Youth unemployment in minority communities is about 40 to 45 percent.,1,youth unemployment in minority communities is about  to  percent
Says Paul Ryan is still endorsing Trump.,1,says paul ryan is still endorsing trump
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",0,if you look at states that are right to work they constantly do not have budget deficits and they have very good business climates
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,0,what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,1,we cut business taxes so today  percent of our businesses dont pay a business tax
Says Mark Pryor votes with Obama 93 percent of the time.,1,says mark pryor votes with obama  percent of the time
We have a federal government that thinks they have the authority to regulate our toilet seats.,1,we have a federal government that thinks they have the authority to regulate our toilet seats
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,1,austin is a city that has basically doubled in size every  years or so since it was founded
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",1,the nuclear test conducted in our nation this time is the earths  nuclear test the five permanent members of the un security council have conducted  percent of the total nuclear tests
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",0,in the case of a catastrophic event the atlantaarea offices of the centers for disease control and prevention will selfdestruct
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",1,under president george w bush we added  trillion to the debt under president obama weve added  trillion to the debt
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,0,says a us supreme court justice suggested that some us cases will be decided based on south african law
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,1,says marco rubio skipped  defense votes including one to arm the kurds to fight isis
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",0,rep david cicilline is responsible for the federal loan guarantee to solyndra the failed solar company
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,0,says ohio budget item later signed into law by gov john kasich requires women seeking an abortion to undergo a mandatory vaginal probe
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,0,we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster 
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,1,africanamerican youth unemployment is  percent hispanic youth unemployment is  percent
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",0,obamacare will provide insurance to all nonus residents even if they are here illegally
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,0,president barack obama took exactly none of his own deficit reduction commissions ideas not one
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,0,it was under barack obama and hillary clinton that changed the rules of engagement that probably cost capt humayun khans life
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,1,hillary clinton in  cosponsored legislation that would jail flag burners
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,0,says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country
"Maggie Hassan raised tuition, making it the highest in America.",0,maggie hassan raised tuition making it the highest in america
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,0,says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",1,we created  new jobs we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history
"We have towns in West Texas that are out of water, that are having to truck in water.",0,we have towns in west texas that are out of water that are having to truck in water
"In Georgia, women earn 82 cents for every dollar earned by men.",1,in georgia women earn  cents for every dollar earned by men
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,1,a federal system that verifies employees are authorized to work in the us is inaccurate anywhere from  percent all the way up to in excess of  percent of the time
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",0,they were going to build the wall a while ago not so long ago like in  and they couldnt get environmental impact statements
Sen. Obama's campaign announced that he's choosing his cabinet.,0,sen obamas campaign announced that hes choosing his cabinet
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",1,in  only  percent of latinos in texas were registered to vote and only  percent actually turned out
Only 2 percent of public high schools in the country offer PE classes.,0,only  percent of public high schools in the country offer pe classes
"Said he's the only Republican candidate ""who's actually turned around a government economy.""",1,said hes the only republican candidate whos actually turned around a government economy
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",1,on military recruiters at harvard elena kagan took a position and the supreme court ruled unanimously that she was wrong
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",1,there are  public school teachers in texas and there are  nonteachers in our public schools
"Under Mayor Cicilline, [Providence] was a sanctuary city.",0,under mayor cicilline  was a sanctuary city
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,0,transgender individuals in the us have a  chance of being murdered
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",1,at bain capital we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",0,says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,0,us rep phil gingrey gave the government the power to electronically spy on americans without a warrant
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,0,alex sink funneled three quarters of a million dollars in nobid contracts to bank of america
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",1,if you take the population growth here in virginia we are net zero on job creation since bob mcdonnell became governor
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",0,under obama home values in florida collapsed construction jobs were lost and the state had a high foreclosure rate
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",1,the new arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person
The only time in our history when the debt has been higher than this was the end of World War II.,1,the only time in our history when the debt has been higher than this was the end of world war ii
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,1,the cost of health care is now the singlebiggest factor driving down the federal budget deficit
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",1,during the recession the consumer in his native perversity has begun to save the savings rate is now  percent
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,0,on whether a us supreme court nominee should be forthcoming at confirmation hearings
Says one out of three U.S. homeless men is a veteran.,0,says one out of three us homeless men is a veteran
Says Charlie Crist supports cuts to the Medicare Advantage program.,0,says charlie crist supports cuts to the medicare advantage program
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,1,i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together  forget the united states
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,1,says scott brown cosponsored legislation to let employers deny women coverage for birth control
"At some point in their lives, 99% of women use birth control.",1,at some point in their lives  of women use birth control
"In the past 20 years, Egypt has made great strides in political and democratic reform.",0,in the past  years egypt has made great strides in political and democratic reform
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,0,the amount of attention paid this week to chris christie makes the coverage of benghazi  pale in significance
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,1,says us rep steve southerland voted to keep the shutdown going
"In Rick Perrys Texas, we import nurses ... from other countries.",1,in rick perrys texas we import nurses  from other countries
There is a federal criminal law that says its a crime to transport dentures across state lines.,1,there is a federal criminal law that says its a crime to transport dentures across state lines
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,1,we built a new prison every  days between  and  to keep up with our mass incarceration explosion of nonviolent offenders
"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",0,sen mccains tax plan provides virtually nothing to the middle class
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,0,austin is burdened by the fastestgrowing tax increases of any major city in the nation
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",0,phoenix arizona is the no  kidnapping capital of the world
I belong to the AFL-CIO.,1,i belong to the aflcio
The insurance commissioner cant do squat about health care.,1,the insurance commissioner cant do squat about health care
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,1,says a poll found him the only republican candidate who could beat barack obama in texas  and by eight points
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",0,president ronald reagan sent troops into conflict only in one circumstance which was in grenada we were in a peacekeeping setting in lebanon
Says David Jolly supports privatizing Social Security.,0,says david jolly supports privatizing social security
Did you know US population growth is at its lowest since the Great Depression?,1,did you know us population growth is at its lowest since the great depression
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",1,the average student in florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",1,since  more americans have died from gunfire than died in all the wars of this countrys history
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,1,a foreclosure tax that would take effect in  could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,0,the florida department of agricultures website freshfromfloridacom can be used to get a permit to carry a loaded hidden gun without ever leaving your house
"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",0,the atlanta streetcar is expected to create  jobs during construction totaling more than  jobs over the next  years
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",1,raising the minimum wage to  an hour would help lift over a million americans out of poverty
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",1,says secretary of state john kerry when he was a senator flew to managua and met with a communist dictator there daniel ortega and accused the reagan administration of engaging in terrorism
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",0,nato is opening up a major terror division  im sure im not going to get credit for it but that was largely because of what i was saying and my criticism of nato
Sen. Obama has always had a 100 percent prochoice rating.,1,sen obama has always had a  percent prochoice rating
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",1,since gina raimondo took office investment fees on the states pension portfolio have gone up from about  million annually to about  million
The (federal) debt is growing by more than $4 billion a day.,1,the federal debt is growing by more than  billion a day
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",1,under president barack obamas jobs bill states would no longer have to lay off teachers firefighters and police officers
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",0,of our  teachers who are  over  of those teachers today are over  years old
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,1,twothirds of wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",1,under president obamas healthcare reforms the premium for an average plan for a family didnt go down by  per year its gone up about  per year
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",1,the irs also investigated liberal groups groups that had progressive in their name  the irs was basically looking at everybody
Says Obama promised unemployment would never go above 8 percent.,0,says obama promised unemployment would never go above  percent
The economy is creating jobs at the fastest pace since 1999.,1,the economy is creating jobs at the fastest pace since 
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,1,president obama decided not to meet with prime minister benjamin netanyahu in new york
"In a majority of states, you can now marry freely, but can still be fired for who you love.",1,in a majority of states you can now marry freely but can still be fired for who you love
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,0,say oregon reps peter defazio and earl blumenauer are socialists who are openly serving in the us congress
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",0,rudy giuliani is probably the most underqualified man since george bush to seek the presidency
"About half of the presidents have been governors; half of them, senators.",0,about half of the presidents have been governors half of them senators
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",1,after britains vote to leave the european union within  hours americans lost  billion from our 
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",1,medicaid spending declined by  percent in  the second such decline in  years
Says 88 Texas constables have died in the line of duty.,1,says  texas constables have died in the line of duty
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",1,gov rick scott cut the cost of prepaid college tuition by nearly 
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",1,the city of columbus would save  million a year if employees had to contribute to their own guaranteedcheck pensions
"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",1,as floridas cfo i shut down krakows scam and refunded more than  million to josephine and other victims of this con man
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,1,you had more women getting computer sciences degrees in the  by a factor of  than you do now
The Air Force wants taxpayers to fund a fantasy football league.,0,the air force wants taxpayers to fund a fantasy football league
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,0,barack hussein obama will  force courts to accept islamic sharia law in domestic disputes
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,1,about  percent of murders and crimes are committed with guns from people who actually legally purchase those guns
Some neighborhood schools are closing.,1,some neighborhood schools are closing
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,1,he told gay organizers in massachusetts he would be a stronger advocate for special rights than even ted kennedy
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",1,the years that i was speaker the florida house consistently offered leaner budgets than the governor offered
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",0,we are already almost halfway to our  goal of creating  new jobs in seven years
Says the U.S. Supreme Court found that Social Security is not guaranteed.,1,says the us supreme court found that social security is not guaranteed
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,0,saysmichael bennet wants to close guantanamo bay prisonand bring terrorists right here to colorado
Oregonians have an amazing no-cost way to fight abortion with free political donations,1,oregonians have an amazing nocost way to fight abortion with free political donations
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",0,the president said hes going to bring in  syrian and iraqi refugees into this country
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",0,research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support
Newt Gingrichs immigration plan offers a new doorway to amnesty.,1,newt gingrichs immigration plan offers a new doorway to amnesty
Mr. Caprio is a career politician who has never worked in the private sector.,0,mr caprio is a career politician who has never worked in the private sector
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",0,in rhode island  percent of workers use the states temporary disability insurance program each year while in new jersey the rate is only  percent
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",1,in just  years spending for social security federal health care and interest on the debt will exceed all tax revenue
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,1,president obama took more money from wall street in the  campaign than anybody ever had
Donald Trump has said nuclear proliferation is OK.,1,donald trump has said nuclear proliferation is ok
"Hillary Clinton has taken over $800,000 from lobbyists.",1,hillary clinton has taken over  from lobbyists
Barack Obama has never even worked in business.,0,barack obama has never even worked in business
Says the Arizona immigration law expressly bans racial profiling.,1,says the arizona immigration law expressly bans racial profiling
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,0,says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the usmexico border
"On the VA: Over 300,000 veterans have died waiting for care.",0,on the va over  veterans have died waiting for care
Were now spending 42 percent of our economy on government.,1,were now spending  percent of our economy on government
Rob Cornilles supports privatizing Medicare.,0,rob cornilles supports privatizing medicare
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",0,in  dan branch tried to expand thirdtrimester abortions in texas
We (Democrats) have made steady progress creating jobs and improving our schools.,1,we democrats have made steady progress creating jobs and improving our schools
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,0,michigan and massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there
"Whether you like to admit it or not, half our general revenue goes to education.",1,whether you like to admit it or not half our general revenue goes to education
Im the only one whos fought against developers draining the Everglades!,0,im the only one whos fought against developers draining the everglades
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,1,says ron johnson calls social security a ponzi scheme and wants to privatize the program
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",1,there are  other states and  other cities that have the same type of policies that we just passed referring to north carolinas house bill 
Climate change is directly related to the growth of terrorism.,0,climate change is directly related to the growth of terrorism
The jobs bill includes President Obamas tax on soup kitchens,0,the jobs bill includes president obamas tax on soup kitchens
Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,0,says the obama administration spent taxpayer dollars on electric cars in finland and windmills in china
While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,1,while sarah was mayor of wasilla she tried to fire our highly respected city librarian because the librarian refused to consider removing from the library some books that sarah wanted removed
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",1,if milwaukee approves reducing its maximum forfeiture for marijuana possession to  the city would have  different bicycle violations that have a higher forfeiture
We have more illegal immigrants here than we did five years ago.,0,we have more illegal immigrants here than we did five years ago
Says Rick Perry wrote a letter supporting Hillarycare.,0,says rick perry wrote a letter supporting hillarycare
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,0,the us patent and trademark office received zero complaints about the washington redskins name
"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",0,the presidents health care proposals will cause most americans to have their premiums increased not decreased and hundreds of millions of people lose their current insurance coverage
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,1,mexican immigrants are more lawabiding than us citizens and that is a statistic
Says Chris Christie vetoed a jobs package of 30 bills.,1,says chris christie vetoed a jobs package of  bills
There are already more American jobs in the solar industry than in coal mining.,1,there are already more american jobs in the solar industry than in coal mining
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,1,says illinois gubernatorial candidate bill bradys first priority after winning the primary was to sponsor a bill that would masseuthanize sheltered dogs and cats in gas chambers
Barack Obama is in an economy thats only worsened since hes been president of the United States.,1,barack obama is in an economy thats only worsened since hes been president of the united states
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",1,romney failed to take action against sanctuary cities in massachusetts
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",1,says new jersey is down nearly  jobs from its prerecession peak and with gov chris christie new jersey has trailed the rest of america when it comes to unemployment for  consecutive months
Says Thomas Eric Duncan came into the United States with an elevated temperature.,0,says thomas eric duncan came into the united states with an elevated temperature
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,1,we have been in afghanistan longer now than we have been in any foreign land conducting a war in our nations history
Gas prices have gone up $2 since Obama took office.,1,gas prices have gone up  since obama took office
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,1,webster sponsored a bill to create a form of marriage that would trap women in abusive relationships
Says judges get better benefits at a lower cost than everybody else in the state.,1,says judges get better benefits at a lower cost than everybody else in the state
There are a lot of casinos across the country that have gone bankrupt.,1,there are a lot of casinos across the country that have gone bankrupt
Small businesses create 70 percent of the jobs in America.,1,small businesses create  percent of the jobs in america
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",1,seniors with coverage under medicare advantage will give up more than their share because of health care reform
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",1,over  school kids were arrested in florida it makes florida the nations leader in that area
If Texas were a country our economy would rank # 10...in the WORLD.,1,if texas were a country our economy would rank   the world
There are more oil rigs in operation in the United States than the rest of the world combined.,0,there are more oil rigs in operation in the united states than the rest of the world combined
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",1,payday lenders profit from the poor by charging  percent interest
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",1,the social security trust fund is sound without anything being done it would function well into  and even after that time with no changes we could pay  percent of the benefits that people have earned
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,1,it is a commitment voters take very seriously the only incumbent in ohio to break his pledge and vote for ted stricklands income tax hike was defeated soundly on tuesday
The Obama administration shut down the Amber Alert program because of the government shutdown.,0,the obama administration shut down the amber alert program because of the government shutdown
The Republicans have 2 percent of the Muslim vote.,1,the republicans have  percent of the muslim vote
"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",1,e see americas prison population exploding with america having a greater percentage of its people behind bars than any other nation in the world
"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",0,says that in a hearing rep gabrielle giffords suggested to gen david petraeus that the army put more emphasis on less environmentally damaging methods like stabbing or clubbing enemy forces in order to minimize the carbon output
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",1,every single one of the  republican senators who just blocked a raise in the minimum wage will receive a  costofliving adjustment on january  
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",1,in texas the no  name for new male babies many of whom will vote one day is jose
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,1,marco rubio voted against authorizing president obama to strike syria after assad used chemical weapons on his own people
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",0,under the cash for clunkers program all weve got to do is  go to a local junkyard all youve got to do is tow it to your house and youre going to get 
Not one Republican has the guts to recognize that climate change is real.,0,not one republican has the guts to recognize that climate change is real
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",1,while our people work longer hours for lower wages almost all new income goes to the top  percent
David Dewhurst has a record of promoting an income tax.,0,david dewhurst has a record of promoting an income tax
Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,1,point pleasant beach does not own its beaches they are privately owned and operated by businesses such as jenkinsons
"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",0,in the past year more than  percent of americans have changed their mind about the war in afghanistan they conclude we shouldnt be there
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",0,in the last five years  people have been killed along the usmexico border
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,0,the state of ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation
Says Obama health reform law denies millions access to affordable insurance.,0,says obama health reform law denies millions access to affordable insurance
Says HB2 hasnt moved the needle one iota on North Carolinas economy.,0,says  hasnt moved the needle one iota on north carolinas economy
Close to 30% of our federal prison population consists of illegal immigrants.,0,close to  of our federal prison population consists of illegal immigrants
Says Rick Scott called education not a core function of the state.,0,says rick scott called education not a core function of the state
"The Family Research Council, according to some government agencies, is a terrorist group.",0,the family research council according to some government agencies is a terrorist group
